Student_ID,Status,Kohort,Is_Dropout,Skor_Risiko,Level_Risiko,Program_Studi,Jalur_Masuk,Kelas,Gender_Label,Kelompok_Usia,Age_at_enrollment,Status_Pernikahan,Debtor_Label,Tuition_fees_up_to_date_Label,Scholarship_holder_Label,Displaced_Label,Educational_special_needs_Label,International_Label,Admission_grade,Previous_qualification_grade,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Approval_Rate,Rata_Nilai,Kategori_Performa,Unemployment_rate,Inflation_rate,GDP
STD-3660,Enrolled,Masih Aktif,,100.0,Tinggi,Management,Change of institution/course,Reguler (Siang),Perempuan,21-23,22,Single,Ya,Menunggak,Tidak,Ya,Tidak,Domestik,99.7,99.0,5,0,0.0,5,0,0.0,0.0,0.0,Kritis (<25%),8.9,1.4,3.51
STD-4021,Enrolled,Masih Aktif,,100.0,Tinggi,Veterinary Nursing,Over 23 years old,Reguler (Siang),Laki-laki,24-27,25,Single,Ya,Menunggak,Tidak,Ya,Tidak,Domestik,138.3,133.1,6,0,0.0,6,0,0.0,0.0,0.0,Kritis (<25%),8.9,1.4,3.51
STD-4115,Enrolled,Masih Aktif,,100.0,Tinggi,Informatics Engineering,1st phase - general,Reguler (Siang),Laki-laki,<=20,20,Single,Ya,Lunas,Tidak,Ya,Tidak,Domestik,166.0,140.0,5,0,0.0,5,0,0.0,0.0,0.0,Kritis (<25%),9.4,-0.8,-3.12
STD-4184,Enrolled,Masih Aktif,,100.0,Tinggi,Informatics Engineering,Change of course,Reguler (Siang),Laki-laki,24-27,27,Single,Ya,Menunggak,Tidak,Tidak,Tidak,Domestik,128.0,130.0,5,0,0.0,5,0,0.0,0.0,0.0,Kritis (<25%),13.9,-0.3,0.79
STD-3787,Enrolled,Masih Aktif,,100.0,Tinggi,Informatics Engineering,2nd phase - general,Reguler (Siang),Laki-laki,<=20,18,Single,Ya,Menunggak,Tidak,Ya,Tidak,Domestik,120.4,127.0,5,0,0.0,5,0,0.0,0.0,0.0,Kritis (<25%),9.4,-0.8,-3.12
STD-3674,Enrolled,Masih Aktif,,99.9,Tinggi,Journalism & Comm,1st phase - general,Reguler (Siang),Perempuan,<=20,18,Single,Tidak,Lunas,Tidak,Ya,Tidak,Domestik,123.2,127.0,6,1,11.0,6,0,0.0,8.3,5.5,Kritis (<25%),9.4,-0.8,-3.12
STD-3645,Enrolled,Masih Aktif,,99.9,Tinggi,Communication Design,Change of course,Reguler (Siang),Laki-laki,24-27,24,Single,Tidak,Lunas,Tidak,Tidak,Tidak,Domestik,120.9,116.0,6,0,0.0,6,0,0.0,0.0,0.0,Kritis (<25%),12.7,3.7,-1.7
STD-3898,Enrolled,Masih Aktif,,99.9,Tinggi,Equinculture,Tech. specialization holder,Reguler (Siang),Perempuan,<=20,20,Single,Ya,Menunggak,Tidak,Ya,Tidak,Domestik,140.0,140.0,6,3,12.0,6,2,11.0,41.7,11.5,Rendah (25-50%),12.4,0.5,1.79
STD-4045,Enrolled,Masih Aktif,,99.9,Tinggi,Informatics Engineering,Over 23 years old,Reguler (Siang),Laki-laki,24-27,24,Single,Ya,Lunas,Tidak,Tidak,Tidak,Domestik,110.3,139.0,5,1,10.0,5,1,11.0,20.0,10.5,Kritis (<25%),8.9,1.4,3.51
STD-3931,Enrolled,Masih Aktif,,99.9,Tinggi,Nursing,Over 23 years old,Reguler (Siang),Laki-laki,28-35,33,Married,Tidak,Lunas,Ya,Tidak,Tidak,Domestik,130.0,100.0,8,1,10.0,8,1,10.0,12.5,10.0,Kritis (<25%),12.7,3.7,-1.7
