Student_ID,Status,Is_Dropout,Skor_Risiko,Level_Risiko,Program_Studi,Jalur_Masuk,Kelas,Gender_Label,Kelompok_Usia,Age_at_enrollment,Status_Pernikahan,Debtor_Label,Tuition_fees_up_to_date_Label,Scholarship_holder_Label,Displaced_Label,Educational_special_needs_Label,International_Label,Admission_grade,Previous_qualification_grade,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Approval_Rate,Rata_Nilai,Kategori_Performa,Unemployment_rate,Inflation_rate,GDP
STD-0001,Dropout,1,61.7,Tinggi,Animation & Multimedia,2nd phase - general,Reguler (Siang),Laki-laki,<=20,20,Single,Tidak,Lunas,Tidak,Ya,Tidak,Domestik,127.3,122.0,0,0,0.0,0,0,0.0,0.0,0.0,Kritis (<25%),10.8,1.4,1.74
STD-0002,Graduate,0,7.0,Rendah,Tourism,International student,Reguler (Siang),Laki-laki,<=20,19,Single,Tidak,Menunggak,Tidak,Ya,Tidak,Domestik,142.5,160.0,6,6,14.0,6,6,13.666666666666666,100.0,13.83,Baik (>75%),13.9,-0.3,0.79
STD-0003,Dropout,1,97.8,Tinggi,Communication Design,1st phase - general,Reguler (Siang),Laki-laki,<=20,19,Single,Tidak,Menunggak,Tidak,Ya,Tidak,Domestik,124.8,122.0,6,0,0.0,6,0,0.0,0.0,0.0,Kritis (<25%),10.8,1.4,1.74
STD-0004,Graduate,0,6.5,Rendah,Journalism & Comm,2nd phase - general,Reguler (Siang),Perempuan,<=20,20,Single,Tidak,Lunas,Tidak,Ya,Tidak,Domestik,119.6,122.0,6,6,13.428571428571429,6,5,12.4,91.7,12.91,Baik (>75%),9.4,-0.8,-3.12
STD-0005,Graduate,0,7.7,Rendah,Social Service (eve),Over 23 years old,Kelas Malam,Perempuan,>35,45,Married,Tidak,Lunas,Tidak,Tidak,Tidak,Domestik,141.5,100.0,6,5,12.333333333333334,6,6,13.0,91.7,12.67,Baik (>75%),13.9,-0.3,0.79
STD-0006,Graduate,0,37.2,Sedang,Management (evening),Over 23 years old,Kelas Malam,Laki-laki,>35,50,Married,Ya,Lunas,Tidak,Tidak,Tidak,Domestik,114.8,133.1,5,5,11.857142857142858,5,5,11.5,100.0,11.68,Baik (>75%),16.2,0.3,-0.92
STD-0007,Graduate,0,2.5,Rendah,Nursing,1st phase - general,Reguler (Siang),Perempuan,<=20,18,Single,Tidak,Lunas,Ya,Ya,Tidak,Domestik,128.4,142.0,7,7,13.3,8,8,14.345,100.0,13.82,Baik (>75%),15.5,2.8,-4.06
STD-0008,Dropout,1,97.7,Tinggi,Tourism,3rd phase - general,Reguler (Siang),Laki-laki,21-23,22,Single,Tidak,Menunggak,Tidak,Ya,Tidak,Domestik,113.1,119.0,5,0,0.0,5,0,0.0,0.0,0.0,Kritis (<25%),15.5,2.8,-4.06
STD-0009,Graduate,0,2.8,Rendah,Social Service,1st phase - general,Reguler (Siang),Perempuan,21-23,21,Single,Tidak,Lunas,Ya,Tidak,Tidak,Internasional,129.3,137.0,6,6,13.875,6,6,14.142857142857142,100.0,14.01,Baik (>75%),16.2,0.3,-0.92
STD-0010,Dropout,1,85.3,Tinggi,Social Service,1st phase - general,Reguler (Siang),Perempuan,<=20,18,Single,Ya,Menunggak,Tidak,Ya,Tidak,Domestik,123.0,138.0,6,5,11.4,6,2,13.5,58.3,12.45,Sedang (50-75%),8.9,1.4,3.51
