Student_ID,Status,Kohort,Is_Dropout,Skor_Risiko,Level_Risiko,Program_Studi,Jalur_Masuk,Kelas,Gender_Label,Kelompok_Usia,Age_at_enrollment,Status_Pernikahan,Debtor_Label,Tuition_fees_up_to_date_Label,Scholarship_holder_Label,Displaced_Label,Educational_special_needs_Label,International_Label,Admission_grade,Previous_qualification_grade,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Approval_Rate,Rata_Nilai,Kategori_Performa,Unemployment_rate,Inflation_rate,GDP
STD-0001,Dropout,Telah Selesai,1.0,65.9,Tinggi,Animation & Multimedia,2nd phase - general,Reguler (Siang),Laki-laki,<=20,20,Single,Tidak,Lunas,Tidak,Ya,Tidak,Domestik,127.3,122.0,0,0,0.0,0,0,0.0,0.0,0.0,Kritis (<25%),10.8,1.4,1.74
STD-0002,Graduate,Telah Selesai,0.0,40.1,Sedang,Tourism,International student,Reguler (Siang),Laki-laki,<=20,19,Single,Tidak,Menunggak,Tidak,Ya,Tidak,Domestik,142.5,160.0,6,6,14.0,6,6,13.666666666666666,100.0,13.83,Baik (>75%),13.9,-0.3,0.79
STD-0003,Dropout,Telah Selesai,1.0,100.0,Tinggi,Communication Design,1st phase - general,Reguler (Siang),Laki-laki,<=20,19,Single,Tidak,Menunggak,Tidak,Ya,Tidak,Domestik,124.8,122.0,6,0,0.0,6,0,0.0,0.0,0.0,Kritis (<25%),10.8,1.4,1.74
STD-0004,Graduate,Telah Selesai,0.0,28.1,Rendah,Journalism & Comm,2nd phase - general,Reguler (Siang),Perempuan,<=20,20,Single,Tidak,Lunas,Tidak,Ya,Tidak,Domestik,119.6,122.0,6,6,13.428571428571429,6,5,12.4,91.7,12.91,Baik (>75%),9.4,-0.8,-3.12
STD-0005,Graduate,Telah Selesai,0.0,9.1,Rendah,Social Service (eve),Over 23 years old,Kelas Malam,Perempuan,>35,45,Married,Tidak,Lunas,Tidak,Tidak,Tidak,Domestik,141.5,100.0,6,5,12.333333333333334,6,6,13.0,91.7,12.67,Baik (>75%),13.9,-0.3,0.79
STD-0006,Graduate,Telah Selesai,0.0,73.7,Tinggi,Management (evening),Over 23 years old,Kelas Malam,Laki-laki,>35,50,Married,Ya,Lunas,Tidak,Tidak,Tidak,Domestik,114.8,133.1,5,5,11.857142857142858,5,5,11.5,100.0,11.68,Baik (>75%),16.2,0.3,-0.92
STD-0007,Graduate,Telah Selesai,0.0,1.5,Rendah,Nursing,1st phase - general,Reguler (Siang),Perempuan,<=20,18,Single,Tidak,Lunas,Ya,Ya,Tidak,Domestik,128.4,142.0,7,7,13.3,8,8,14.345,100.0,13.82,Baik (>75%),15.5,2.8,-4.06
STD-0008,Dropout,Telah Selesai,1.0,100.0,Tinggi,Tourism,3rd phase - general,Reguler (Siang),Laki-laki,21-23,22,Single,Tidak,Menunggak,Tidak,Ya,Tidak,Domestik,113.1,119.0,5,0,0.0,5,0,0.0,0.0,0.0,Kritis (<25%),15.5,2.8,-4.06
STD-0009,Graduate,Telah Selesai,0.0,1.0,Rendah,Social Service,1st phase - general,Reguler (Siang),Perempuan,21-23,21,Single,Tidak,Lunas,Ya,Tidak,Tidak,Internasional,129.3,137.0,6,6,13.875,6,6,14.142857142857142,100.0,14.01,Baik (>75%),16.2,0.3,-0.92
STD-0010,Dropout,Telah Selesai,1.0,98.1,Tinggi,Social Service,1st phase - general,Reguler (Siang),Perempuan,<=20,18,Single,Ya,Menunggak,Tidak,Ya,Tidak,Domestik,123.0,138.0,6,5,11.4,6,2,13.5,58.3,12.45,Sedang (50-75%),8.9,1.4,3.51
STD-0011,Graduate,Telah Selesai,0.0,15.6,Rendah,Advertising & Marketing,1st phase - general,Reguler (Siang),Perempuan,<=20,18,Single,Tidak,Lunas,Tidak,Ya,Tidak,Domestik,130.6,139.0,6,6,12.333333333333334,6,5,14.2,91.7,13.27,Baik (>75%),13.9,-0.3,0.79
STD-0012,Graduate,Telah Selesai,0.0,4.3,Rendah,Nursing,1st phase - general,Reguler (Siang),Perempuan,<=20,18,Single,Tidak,Lunas,Ya,Ya,Tidak,Domestik,119.3,136.0,8,7,13.214285714285714,8,7,13.214285714285714,87.5,13.21,Baik (>75%),12.7,3.7,-1.7
STD-0013,Dropout,Telah Selesai,1.0,100.0,Tinggi,Basic Education,1st phase - general,Reguler (Siang),Perempuan,<=20,19,Single,Tidak,Lunas,Tidak,Ya,Tidak,Domestik,130.2,133.0,6,0,0.0,6,0,0.0,0.0,0.0,Kritis (<25%),12.7,3.7,-1.7
STD-0014,Graduate,Telah Selesai,0.0,8.4,Rendah,Tourism,Short cycle holder,Reguler (Siang),Perempuan,21-23,21,Single,Tidak,Lunas,Ya,Ya,Tidak,Domestik,111.8,110.0,6,6,10.571428571428571,6,5,11.0,91.7,10.79,Baik (>75%),8.9,1.4,3.51
STD-0015,Graduate,Telah Selesai,0.0,2.2,Rendah,Veterinary Nursing,1st phase - general,Reguler (Siang),Perempuan,<=20,18,Single,Tidak,Lunas,Ya,Ya,Tidak,Domestik,137.1,149.0,5,4,13.25,5,5,12.0,90.0,12.62,Baik (>75%),10.8,1.4,1.74
STD-0016,Dropout,Telah Selesai,1.0,99.3,Tinggi,Journalism & Comm,1st phase - general,Reguler (Siang),Perempuan,<=20,20,Single,Tidak,Lunas,Tidak,Ya,Tidak,Domestik,120.7,127.0,6,5,13.2,6,0,0.0,41.7,6.6,Rendah (25-50%),15.5,2.8,-4.06
STD-0017,Graduate,Telah Selesai,0.0,7.0,Rendah,Nursing,2nd phase - general,Reguler (Siang),Perempuan,<=20,18,Single,Tidak,Lunas,Tidak,Ya,Tidak,Domestik,127.3,135.0,7,7,13.30625,8,8,14.545,100.0,13.93,Baik (>75%),15.5,2.8,-4.06
STD-0018,Graduate,Telah Selesai,0.0,22.3,Rendah,Equinculture,1st phase - general,Reguler (Siang),Perempuan,<=20,20,Single,Tidak,Lunas,Tidak,Ya,Tidak,Domestik,136.3,137.0,5,4,12.5,5,4,12.25,80.0,12.38,Baik (>75%),10.8,1.4,1.74
STD-0019,Graduate,Telah Selesai,0.0,33.8,Sedang,Animation & Multimedia,1st phase - general,Reguler (Siang),Perempuan,21-23,21,Single,Tidak,Lunas,Ya,Tidak,Tidak,Domestik,120.3,122.0,0,0,0.0,0,0,0.0,0.0,0.0,Kritis (<25%),11.1,0.6,2.02
STD-0020,Graduate,Telah Selesai,0.0,7.2,Rendah,Nursing,1st phase - general,Reguler (Siang),Perempuan,<=20,18,Single,Tidak,Lunas,Tidak,Ya,Tidak,Domestik,125.5,142.0,8,7,12.857142857142858,8,7,12.857142857142858,87.5,12.86,Baik (>75%),12.7,3.7,-1.7
STD-0021,Graduate,Telah Selesai,0.0,3.3,Rendah,Advertising & Marketing,1st phase - general,Reguler (Siang),Perempuan,<=20,19,Single,Tidak,Lunas,Ya,Ya,Tidak,Domestik,114.9,125.0,6,6,13.375,6,6,12.285714285714286,100.0,12.83,Baik (>75%),11.1,0.6,2.02
STD-0022,Graduate,Telah Selesai,0.0,8.4,Rendah,Nursing,1st phase - general,Reguler (Siang),Perempuan,<=20,19,Single,Tidak,Lunas,Tidak,Tidak,Tidak,Domestik,123.9,126.0,7,6,13.296666666666669,8,7,14.114285714285714,86.7,13.71,Baik (>75%),11.1,0.6,2.02
STD-0023,Graduate,Telah Selesai,0.0,4.4,Rendah,Social Service,2nd phase - general,Reguler (Siang),Perempuan,21-23,21,Single,Tidak,Lunas,Tidak,Ya,Tidak,Domestik,116.4,115.0,6,6,11.375,6,6,13.285714285714286,100.0,12.33,Baik (>75%),16.2,0.3,-0.92
STD-0024,Graduate,Telah Selesai,0.0,21.6,Rendah,Management,1st phase - general,Reguler (Siang),Perempuan,<=20,20,Single,Tidak,Lunas,Tidak,Ya,Tidak,Domestik,122.1,135.0,5,5,12.0,5,5,12.333333333333334,100.0,12.17,Baik (>75%),16.2,0.3,-0.92
STD-0025,Graduate,Telah Selesai,0.0,61.6,Tinggi,Communication Design,Change of institution/course,Reguler (Siang),Laki-laki,<=20,20,Single,Tidak,Lunas,Tidak,Ya,Tidak,Domestik,130.0,125.0,6,6,12.833333333333334,6,4,13.4,83.3,13.12,Baik (>75%),8.9,1.4,3.51
STD-0026,Graduate,Telah Selesai,0.0,3.4,Rendah,Social Service (eve),3rd phase - general,Kelas Malam,Perempuan,<=20,19,Single,Tidak,Lunas,Tidak,Ya,Tidak,Domestik,134.5,138.0,6,6,12.666666666666666,6,6,14.375,100.0,13.52,Baik (>75%),12.4,0.5,1.79
STD-0027,Graduate,Telah Selesai,0.0,23.0,Rendah,Management (evening),1st phase - general,Kelas Malam,Laki-laki,28-35,34,Single,Tidak,Lunas,Tidak,Tidak,Tidak,Domestik,131.4,130.0,5,5,12.4,5,5,13.428571428571429,100.0,12.91,Baik (>75%),13.9,-0.3,0.79
STD-0028,Dropout,Telah Selesai,1.0,100.0,Tinggi,Biofuel Production Tech,Over 23 years old,Reguler (Siang),Laki-laki,>35,37,Single,Ya,Menunggak,Tidak,Tidak,Tidak,Domestik,102.5,130.0,7,0,0.0,7,1,10.0,7.1,5.0,Kritis (<25%),8.9,1.4,3.51
STD-0029,Dropout,Telah Selesai,1.0,100.0,Tinggi,Informatics Engineering,Over 23 years old,Reguler (Siang),Laki-laki,>35,43,Single,Tidak,Lunas,Tidak,Ya,Tidak,Domestik,128.8,133.1,5,0,0.0,5,0,0.0,0.0,0.0,Kritis (<25%),7.6,2.6,0.32
STD-0030,Dropout,Telah Selesai,1.0,88.7,Tinggi,Management,Change of course,Reguler (Siang),Perempuan,>35,55,Single,Tidak,Lunas,Tidak,Tidak,Tidak,Domestik,122.9,140.0,5,1,10.0,5,2,12.0,30.0,11.0,Rendah (25-50%),16.2,0.3,-0.92
STD-0031,Graduate,Telah Selesai,0.0,4.5,Rendah,Management (evening),Over 23 years old,Kelas Malam,Perempuan,>35,39,Divorced,Tidak,Lunas,Tidak,Ya,Tidak,Domestik,113.9,120.0,5,5,11.0,5,5,11.6,100.0,11.3,Baik (>75%),7.6,2.6,0.32
STD-0032,Dropout,Telah Selesai,1.0,98.8,Tinggi,Equinculture,Tech. specialization holder,Reguler (Siang),Perempuan,<=20,20,Single,Ya,Menunggak,Tidak,Tidak,Tidak,Internasional,120.0,120.0,6,3,11.666666666666666,6,3,12.0,50.0,11.83,Rendah (25-50%),12.4,0.5,1.79
STD-0033,Dropout,Telah Selesai,1.0,99.4,Tinggi,Journalism & Comm,1st phase - general,Reguler (Siang),Perempuan,<=20,18,Single,Ya,Lunas,Tidak,Tidak,Tidak,Domestik,121.1,126.0,6,4,12.75,5,0,0.0,36.4,6.38,Rendah (25-50%),12.7,3.7,-1.7
STD-0034,Graduate,Telah Selesai,0.0,5.7,Rendah,Management,1st phase - general,Reguler (Siang),Perempuan,21-23,22,Single,Tidak,Lunas,Tidak,Ya,Tidak,Domestik,120.4,133.0,5,5,14.8,5,5,15.8,100.0,15.3,Baik (>75%),8.9,1.4,3.51
STD-0035,Graduate,Telah Selesai,0.0,31.1,Sedang,Nursing,1st phase - general,Reguler (Siang),Perempuan,21-23,22,Single,Tidak,Lunas,Tidak,Ya,Ya,Domestik,100.6,103.0,7,5,13.928,8,7,14.342857142857142,80.0,14.14,Baik (>75%),11.1,0.6,2.02
